Question,Instruction,Option A,Option B,Option C,Option D,Answer
In the ________ these same stars represent three pigs.,Which choice completes the text so that it conforms to the conventions of Standard English?,"mythology, of the Tswana people of South Africa,","mythology of the Tswana people, of South Africa","mythology, of the Tswana people, of South Africa",mythology of the Tswana people of South Africa,D
"In 2009, Libbrecht and Arnold’s experiments revealed that triangular snowflakes begin with the same _______ of chemical bonding and form a hexagonal shape.",Which choice completes the text so that it conforms to the conventions of Standard English?,process,process is,process:,process;,A
Forwards advance to the center of the________crouching behind shelters and trying to eliminate opponents by hitting them with snowballs.,Which choice completes the text so that it conforms to the conventions of Standard English?,field that's,"field, which","field,",field,C
The base of the Bily’s                     carvings of Prague’s town hall and Charles Bridge.,Which choice completes the text so that it conforms to the conventions of Standard English?,clock featuring,"clock, featuring","clock, features",clock features,D
This art had its first formal _________ it was still a work in progress as the artist and his crew continued to add figures to the growing family of “Migrantes.”,Which choice completes the text so that it conforms to the conventions of Standard English?,"exhibition, even then,","exhibition, even then","exhibition. Even then,","Exhibition even then,",C
Scops preserved and conveyed history from one generation to the ________ a type of immorality traditionally revered by the Anglo-Saxons.,Which choice completes the text so that it conforms to the conventions of Standard English?,next. To provide,next. Thereby providing,"next, providing",next. Providing,C
"Ghostly images appeared on the screen, _________ what looked like a collection of matchsticks on the lake bottom.",Which choice completes the text so that it conforms to the conventions of Standard English?,showed,showing,they showed,the images showed,B
Meenakshi Wadhwa was pursuing her PhD when a professor asked  __________  from Mars.,Which choice completes the text so that it conforms to the conventions of Standard English?,"her, if she wanted to see a meteorite",her if she wanted to see a meteorite,"her, if she wanted to see a meteorite,","her, if she wanted, to see a meteorite",B
Despite the pervasive segregation of Memphis in the  ________ the Stax staff and house band were fully integrated.,Which choice completes the text so that it conforms to the conventions of Standard English?,"1960s, when","1960s,","1960s during which,",1960s when,A
One hundred years  ________ designed a special clock.,Which choice completes the text so that it conforms to the conventions of Standard English?,ago Olga Kirov,"ago Olga Kirov,","ago, Olga Kirov,","ago, Olga Kirov",C
